Mol_ID,Hybridization,Experimental_1JCH,Avg_NWChemPrediction,Observed - Predicted,Avg_NWChemPrediction_Fit,Observed - Predicted_fit
106_NWChem_1JCH_mulliken,SP2,140.3,142.510575,-2.210575,143.5374125,-3.237412512
184_NWChem_1JCH_mulliken,SP2,176.5,178.6942,-2.1942,178.1026525,-1.602652517
164_NWChem_1JCH_mulliken,SP2,187,189.0859,-2.0859,188.029563,-1.029562951
162_NWChem_1JCH_mulliken,SP2,187.1,189.0771,-1.9771,188.0211565,-0.921156548
60_NWChem_1JCH_mulliken,SP2,151.9,153.8063,-1.9063,154.3279136,-2.42791362
88_NWChem_1JCH_mulliken,SP2,168.6,170.4911,-1.8911,170.2664526,-1.66645257
111_NWChem_1JCH_mulliken,SP2,159,160.8388,-1.8388,161.045871,-2.045870992
78_NWChem_1JCH_mulliken,SP2,160,161.7795,-1.7795,161.9444963,-1.944496304
156_NWChem_1JCH_mulliken,SP2,185.5,187.1737,-1.6737,186.2028899,-0.70288992
187_NWChem_1JCH_mulliken,SP2,170.4,172.0227,-1.6227,171.7295487,-1.329548697
157_NWChem_1JCH_mulliken,SP2,188.6,190.1568,-1.5568,189.0525648,-0.452564806
98_NWChem_1JCH_mulliken,SP2,166,167.55,-1.55,167.4568992,-1.45689915
61_NWChem_1JCH_mulliken,SP2,156.2,157.7421,-1.5421,158.0876771,-1.887677093
169_NWChem_1JCH_mulliken,SP2,159,160.54,-1.54,160.7604354,-1.76043542
112_NWChem_1JCH_mulliken,SP2,159,160.504,-1.504,160.7260456,-1.726045592
116_NWChem_1JCH_mulliken,SP2,162.2,163.6972,-1.4972,163.7764233,-1.576423336
82_NWChem_1JCH_mulliken,SP2,148,149.4845,-1.4845,150.1994148,-2.199414768
163_NWChem_1JCH_mulliken,SP2,195.3,196.7829,-1.4829,195.3822992,-0.082299232
77_NWChem_1JCH_mulliken,SP2,159.2,160.6603,-1.4603,160.8753548,-1.675354762
160_NWChem_1JCH_mulliken,SP2,217,218.4062,-1.4062,216.0384539,0.961546107
176_NWChem_1JCH_mulliken,SP2,168.1,169.49315,-1.39315,169.3131379,-1.21313788
80_NWChem_1JCH_mulliken,SP2,160.7,162.0832,-1.3832,162.2346127,-1.534612714
156_NWChem_1JCH_mulliken,SP2,176.7,178.0606,-1.3606,177.4973915,-0.797391544
155_NWChem_1JCH_mulliken,SP2,174.7,176.0015,-1.3015,175.5303889,-0.830388909
77_NWChem_1JCH_mulliken,SP2,154.9,156.1271,-1.2271,156.5449112,-1.644911198
79_NWChem_1JCH_mulliken,SP2,153.3,154.5172,-1.2172,155.0070172,-1.707017196
94_NWChem_1JCH_mulliken,SP2,163.9,165.0961,-1.1961,165.1127547,-1.212754735
89_NWChem_1JCH_mulliken,SP2,161.6,162.7935,-1.1935,162.9131431,-1.313143126
188_NWChem_1JCH_mulliken,SP2,165.5,166.6461,-1.1461,166.5934279,-1.093427885
133_NWChem_1JCH_mulliken,SP2,177.4,178.5217,-1.1217,177.9378679,-0.537867924
146_NWChem_1JCH_mulliken,SP2,178,179.0983,-1.0983,178.4886783,-0.488678336
131_NWChem_1JCH_mulliken,SP2,168.3,169.3842,-1.0842,169.2090609,-0.909060887
131_NWChem_1JCH_mulliken,SP2,168.3,169.384,-1.084,169.2088698,-0.908869832
154_NWChem_1JCH_mulliken,SP2,167,168.0809,-1.0809,167.9640536,-0.964053586
162_NWChem_1JCH_mulliken,SP2,183.5,184.5722,-1.0722,183.7177472,-0.217747211
110_NWChem_1JCH_mulliken,SP2,163.2,164.2431,-1.0431,164.2979069,-1.097906866
107_NWChem_1JCH_mulliken,SP2,162.3,163.3012,-1.0012,163.3981352,-1.098135228
151_NWChem_1JCH_mulliken,SP2,207.1,208.0556,-0.9556,206.1508052,0.949194821
106_NWChem_1JCH_mulliken,SP2,156.5,157.4449,-0.9449,157.80377,-1.303769958
106_NWChem_1JCH_mulliken,SP2,156.5,157.4432,-0.9432,157.802146,-1.302145994
106_NWChem_1JCH_mulliken,SP2,156.5,157.4426,-0.9426,157.8015728,-1.30157283
115_NWChem_1JCH_mulliken,SP2,160.9,161.8418,-0.9418,162.0040098,-1.104009811
106_NWChem_1JCH_mulliken,SP2,156.5,157.4395,-0.9395,157.7986115,-1.298611484
96_NWChem_1JCH_mulliken,SP2,153.6,154.50675,-0.90675,154.9970346,-1.397034593
141_NWChem_1JCH_mulliken,SP2,156,156.9062,-0.9062,157.2891644,-1.289164393
79_NWChem_1JCH_mulliken,SP2,157.2,158.1045,-0.9045,158.433868,-1.233868029
175_NWChem_1JCH_mulliken,SP2,160.5,161.3879,-0.8879,161.5704114,-1.070411397
180_NWChem_1JCH_mulliken,SP2,164.9,165.777,-0.877,165.7632001,-0.863200121
177_NWChem_1JCH_mulliken,SP2,158.5,159.2775,-0.7775,159.5544033,-1.054403257
141_NWChem_1JCH_mulliken,SP2,157,157.7768,-0.7768,158.1208251,-1.120825066
111_NWChem_1JCH_mulliken,SP2,163,163.7566,-0.7566,163.8331666,-0.833166552
161_NWChem_1JCH_mulliken,SP2,187.6,188.3219,-0.7219,187.2997344,0.300265621
138_NWChem_1JCH_mulliken,SP2,155.5,156.212,-0.712,156.6260139,-1.126013876
165_NWChem_1JCH_mulliken,SP2,207,207.7,-0.7,205.8111101,1.1888899
185_NWChem_1JCH_mulliken,SP2,168.4,169.0851,-0.6851,168.9233387,-0.523338732
105_NWChem_1JCH_mulliken,SP2,255,255.6601,-0.6601,251.6260987,3.373901293
174_NWChem_1JCH_mulliken,SP2,161,161.6364,-0.6364,161.8077967,-0.807796737
181_NWChem_1JCH_mulliken,SP2,162.6,163.2262,-0.6262,163.3264898,-0.726489753
